"From","Line","Target"
"C:\Users\mete\Downloads\uxminima\build_all.bat","6","uxm31_compiler_fb.bas -x uxm31_compiler.exe"
"C:\Users\mete\Downloads\uxminima\build_all.bat","13","echo   build_one.bat tests\test01_print_A.uxm"
"C:\Users\mete\Downloads\uxminima\build_all.bat","17","build_all.bat"
"C:\Users\mete\Downloads\uxminima\build_final_compiler.bat","4","fbc final\uxm31_compiler_final.bas -x build\uxm31_compiler_final.exe"
"C:\Users\mete\Downloads\uxminima\build_final_compiler.bat","6","build\uxm31_compiler_final.exe"
"C:\Users\mete\Downloads\uxminima\build_one.bat","12","if not exist uxm31_compiler.exe"
"C:\Users\mete\Downloads\uxminima\build_one.bat","13","echo Compiler bulunamadi. Once build_all.bat"
"C:\Users\mete\Downloads\uxminima\build_one.bat","17","uxm31_compiler.exe"
"C:\Users\mete\Downloads\uxminima\build_one.bat","23","uxm31_runtime_fb.bas"
"C:\Users\mete\Downloads\uxminima\build_one.bat","30","echo   build_one.bat tests\test01_print_A.uxm"
"C:\Users\mete\Downloads\uxminima\build_one.bat","33","build_one.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","1","1890  04b6bf87f6e77948  GERCEK_DURUM.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","2","18135  b07c2df16b84ab82  UX-FP V1/Decimal_FP_Sistemi.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","3","412  67348dbf365e8f49  build_all.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","4","261  b267c042a054274a  build_final_compiler.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","5","796  e2f59e5351bf53d6  build_one.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","6","55825  90930d4342b3580b  compiler/uxm31_compiler_fb.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","7","1257  79143a1c78255324  final/UXM31_FINAL_ARGE_COMPILER.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","8","386  0c22761ee03bbb02  final/build_final.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","9","70  c60bea966d2ad0e2  final/examples/dynamic_data_address.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","10","134  a4e4e008e9780a44  final/examples/final_probe.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","11","64466  919d7db9ba573fb9  final/uxm31_compiler_final.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","12","1207  283d1c01b3ef5bc4  gercek_durum.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","13","1347  b51cd76a1552aeb4  ide/uxminima-vscode/.github/copilot-instructions.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","14","310  09aa91d6c28bb262  ide/uxminima-vscode/.vscode/launch.json"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","15","282  e87a999791290eb8  ide/uxminima-vscode/.vscode/tasks.json"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","16","1012  d13756e46860dc7a  ide/uxminima-vscode/README.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","17","241  24a0a28dc72cbbf7  ide/uxminima-vscode/docs/UXM_EXAMPLES.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","18","514  89568e105cdef1cc  ide/uxminima-vscode/docs/UXM_IDE_PROTOCOL.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","19","933  1c1404fb955bf480  ide/uxminima-vscode/docs/UXM_LANGUAGE_SPEC.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","20","472  cc1be4bee3d2a90c  ide/uxminima-vscode/docs/UXM_MEMORY_MODEL.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","21","819  e90d53c907c9ea8c  ide/uxminima-vscode/docs/UXM_META_SERVICES.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","22","548  b70658483447ce89  ide/uxminima-vscode/docs/UXM_TRACE_FORMAT.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","23","206  d04d7a166523f9a3  ide/uxminima-vscode/examples/data_sort.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","24","101  ac5895b1e8a53a9d  ide/uxminima-vscode/examples/fifo_watch.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","25","2211  4f8ef01d5c709390  ide/uxminima-vscode/ide_okubeni.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","26","408  486a09d433c298c4  ide/uxminima-vscode/language-configuration.json"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","27","3886  cd617c672e23bca5  ide/uxminima-vscode/package.json"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","29","4859  058861055dffab34  ide/uxminima-vscode/src/diagnostics.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","30","6481  b98f9ca15bf56e79  ide/uxminima-vscode/src/extension.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","31","6209  e753b1637f703a4b  ide/uxminima-vscode/src/metaServices.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","32","4294  b53f903a8f280f04  ide/uxminima-vscode/src/toolchain.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","33","1500  79cb0d6e20600926  ide/uxminima-vscode/src/traceReader.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","34","23477  e3ab5a0bbe6a2bc8  ide/uxminima-vscode/src/uxmInterpreter.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","35","6803  15f8a96a474e5c5f  ide/uxminima-vscode/src/views/memoryView.ts"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","36","2546  699fe29c497e6dcf  ide/uxminima-vscode/syntaxes/uxm.tmLanguage.json"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","37","342  d85d989f96ed960f  ide/uxminima-vscode/tools/README_TOOLCHAIN.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","38","291  b4f56765edd5b848  ide/uxminima-vscode/tsconfig.json"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","39","253  fbf5cc7889feb3f2  lib/ux_math_v1.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","40","4825  5571829039c232ef  math_extensions/compiler/arge_parse_math_additions.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","41","1568  373646bcb4f3425f  math_extensions/docs/UXM_MATH_EXTENSIONS.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","42","253  fbf5cc7889feb3f2  math_extensions/lib/ux_math_v1.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","43","12025  f38061c54b55459b  math_extensions/runtime/runtime_math_services.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","44","135  dea08874ec14488c  math_extensions/tests_math/test_math01_poly_deriv_arge.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","45","154  f2b514b3e46619bb  math_extensions/tests_math/test_math02_poly_integral_arge.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","46","143  7f1d2b2783e0bd7c  math_extensions/tests_math/test_math03_poly_eval_arge.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","47","178  2f2f641449ba046a  math_extensions/tests_math/test_math04_expr_rpn_eval.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","48","153  191a99caffef4021  math_extensions/tests_math/test_math05_num_deriv.uxm"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","49","192  f9df1f263fc56989  math_extensions/tests_math/test_math06_integral_trap.uxm"
