"From","Line","Target"
"C:\Users\mete\Downloads\uxminima\build_all.bat","6","uxm31_compiler_fb.bas -x uxm31_compiler.exe"
"C:\Users\mete\Downloads\uxminima\build_all.bat","13","echo   build_one.bat tests\test01_print_A.uxm"
"C:\Users\mete\Downloads\uxminima\build_all.bat","17","build_all.bat"
"C:\Users\mete\Downloads\uxminima\build_final_compiler.bat","4","fbc final\uxm31_compiler_final.bas -x build\uxm31_compiler_final.exe"
"C:\Users\mete\Downloads\uxminima\build_final_compiler.bat","6","build\uxm31_compiler_final.exe"
"C:\Users\mete\Downloads\uxminima\build_one.bat","12","if not exist uxm31_compiler.exe"
"C:\Users\mete\Downloads\uxminima\build_one.bat","13","echo Compiler bulunamadi. Once build_all.bat"
"C:\Users\mete\Downloads\uxminima\build_one.bat","17","uxm31_compiler.exe"
"C:\Users\mete\Downloads\uxminima\build_one.bat","23","uxm31_runtime_fb.bas"
"C:\Users\mete\Downloads\uxminima\build_one.bat","30","echo   build_one.bat tests\test01_print_A.uxm"
"C:\Users\mete\Downloads\uxminima\build_one.bat","33","build_one.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","3","412  67348dbf365e8f49  build_all.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","4","261  b267c042a054274a  build_final_compiler.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","5","796  e2f59e5351bf53d6  build_one.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","6","55825  90930d4342b3580b  compiler/uxm31_compiler_fb.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","7","1257  79143a1c78255324  final/UXM31_FINAL_ARGE_COMPILER.md"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","8","386  0c22761ee03bbb02  final/build_final.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","11","64466  919d7db9ba573fb9  final/uxm31_compiler_final.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","40","4825  5571829039c232ef  math_extensions/compiler/arge_parse_math_additions.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","43","12025  f38061c54b55459b  math_extensions/runtime/runtime_math_services.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","51","382  72dc0a3dbd4073ef  run_final_probe.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","52","370  e529bfc12b96a198  run_tests.bat"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","53","34271  087af55b215b0f22  runtime/uxm31_runtime_fb_full.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","89","57331  a85db05fb864bf58  tools/uxm31_full_tool_fb.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","94","55825  90930d4342b3580b  uxm31_compiler_fb.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","95","55175  e3ba7bf119cc0e93  uxm31_compiler_fb.clean.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","96","57331  a85db05fb864bf58  uxm31_full_tool_fb.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","97","59120  f7f1f41217f62ad7  uxm31_full_tool_fb_2.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","98","29726  ddcc77cd892de004  uxm31_runtime_fb.bas"
"C:\Users\mete\Downloads\uxminima\FILE_MANIFEST.txt","99","34271  087af55b215b0f22  uxm31_runtime_fb_full.bas"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","41","uxm31_compiler_fb.bas"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","42","uxm31_runtime_fb.bas"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","43","build_all.bat"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","44","build_one.bat"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","45","run_tests.bat"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","52","build_all.bat"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","53","run_tests.bat"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","59","build_all.bat"
"C:\Users\mete\Downloads\uxminima\gercek_durum.md","60","build_one.bat tests\test05_meta_add.uxm"
"C:\Users\mete\Downloads\uxminima\kullanma klavuzu genisletme.md","20","FreeBASIC runtime ile .exe"
"C:\Users\mete\Downloads\uxminima\kullanma klavuzu genisletme.md","26","fbc uxm_v2_compiler.bas -x uxm_v2_compiler.exe"
"C:\Users\mete\Downloads\uxminima\kullanma klavuzu genisletme.md","27","uxm_v2_compiler.exe"
"C:\Users\mete\Downloads\uxminima\kullanma klavuzu genisletme.md","29","fbc uxm_v2_runtime.bas build.obj -x program.exe"
"C:\Users\mete\Downloads\uxminima\run_final_probe.bat","4","if not exist build\uxm31_compiler_final.exe call build_final_compiler.bat"
"C:\Users\mete\Downloads\uxminima\run_final_probe.bat","5","build\uxm31_compiler_final.exe --input final\examples\final_probe.uxm --mode all --asm build\final_probe.asm --uir build\final_probe.uir.json --diag build\final_probe.diag.json --trace build\final_probe.trace.ndjson --opt build\final_probe.opt.json"
"C:\Users\mete\Downloads\uxminima\run_tests.bat","3","call build_all.bat"
"C:\Users\mete\Downloads\uxminima\run_tests.bat","10","call build_one.bat"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","16","uxm31_full_tool_fb.bas"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","258","uxm31_full_tool_fb.exe run kaynak.uxm"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","259","uxm31_full_tool_fb.exe uir kaynak.uxm out.uir.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","260","uxm31_full_tool_fb.exe opt kaynak.uxm opt.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","261","uxm31_full_tool_fb.exe ide command.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1532","fbc uxm31_full_tool_fb.bas -x uxm31_full_tool.exe"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1533","uxm31_full_tool.exe run tests\test05_meta_add.uxm"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1534","uxm31_full_tool.exe uir tests\test05_meta_add.uxm build\test05.uir.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1535","uxm31_full_tool.exe opt tests\test05_meta_add.uxm build\test05.opt.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1541","tests\\test05_meta_add.uxm"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1547","uxm31_full_tool.exe ide ide_run.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1552","uxm31_compiler_fb.bas"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1552","uxm31_runtime_fb.bas"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","1554","uxm31_runtime_fb_full.bas"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","2836","uxm31_compiler_fb_full.bas"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","2838","uxm31_compiler_fb_full.bas"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","3048","uxm31_compiler_fb_full.exe kaynak.uxm cikis.asm"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","3049","uxm31_compiler_fb_full.exe kaynak.uxm cikis.asm cikis.uir.json cikis.opt.json"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","3082","fbc uxm31_runtime_fb_full.bas program.obj -x program.exe"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","4453","fbc uxm31_compiler_fb_full.bas -x uxm31_compiler_full.exe"
"C:\Users\mete\Downloads\uxminima\ux_minima_full v31.md","4454","uxm31_compiler_full.exe tests\test05_meta_add.uxm build\test05.asm build\test05.uir.json build\test05.opt.json"
