index,status,mode,seconds,return_code,test_path,expect_path,unique_id,expected_compact,actual_compact,message,raw_log,program_log,source
1,BASARILI,compact,4.9919,0,uxm\tests\all_expected_known\0001__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp01_add_int__18c1725f7c.uxm,uxm\tests\all_expected_known\0001__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp01_add_int__18c1725f7c.expect,0001__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp01_add_int__18c1725f7c,46.0000000000000000,46.0000000000000000,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0001_0001__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp01_add_int__18c1725f7c.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0001_0001__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp01_add_int__18c1725f7c.program.txt,UXM_V33_STAGE10_hotfix1_package
2,BASARILI,compact,4.6348,0,uxm\tests\all_expected_known\0002__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp02_sub_int__6ecba5893d.uxm,uxm\tests\all_expected_known\0002__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp02_sub_int__6ecba5893d.expect,0002__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp02_sub_int__6ecba5893d,25.0000000000000000,25.0000000000000000,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0002_0002__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp02_sub_int__6ecba5893d.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0002_0002__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp02_sub_int__6ecba5893d.program.txt,UXM_V33_STAGE10_hotfix1_package
3,BASARILI,compact,4.5305,0,uxm\tests\all_expected_known\0003__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp03_mul_int__c545076a65.uxm,uxm\tests\all_expected_known\0003__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp03_mul_int__c545076a65.expect,0003__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp03_mul_int__c545076a65,408.0000000000000000,408.0000000000000000,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0003_0003__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp03_mul_int__c545076a65.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0003_0003__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp03_mul_int__c545076a65.program.txt,UXM_V33_STAGE10_hotfix1_package
4,BASARILI,compact,5.2612,0,uxm\tests\all_expected_known\0004__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp04_div_int__d98e9e479e.uxm,uxm\tests\all_expected_known\0004__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp04_div_int__d98e9e479e.expect,0004__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp04_div_int__d98e9e479e,3.3333333333333333,3.3333333333333333,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0004_0004__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp04_div_int__d98e9e479e.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0004_0004__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp04_div_int__d98e9e479e.program.txt,UXM_V33_STAGE10_hotfix1_package
5,BASARILI,compact,5.0227,0,uxm\tests\all_expected_known\0005__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp05_from_string__7dcbf9b0c9.uxm,uxm\tests\all_expected_known\0005__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp05_from_string__7dcbf9b0c9.expect,0005__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp05_from_string__7dcbf9b0c9,12.3400000000000000,12.3400000000000000,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0005_0005__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp05_from_string__7dcbf9b0c9.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0005_0005__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp05_from_string__7dcbf9b0c9.program.txt,UXM_V33_STAGE10_hotfix1_package
6,BASARILI,compact,4.8175,0,uxm\tests\all_expected_known\0006__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp06_add_dec_string__1caccb2f3c.uxm,uxm\tests\all_expected_known\0006__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp06_add_dec_string__1caccb2f3c.expect,0006__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp06_add_dec_string__1caccb2f3c,17.9400000000000000,17.9400000000000000,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0006_0006__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp06_add_dec_string__1caccb2f3c.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0006_0006__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp06_add_dec_string__1caccb2f3c.program.txt,UXM_V33_STAGE10_hotfix1_package
7,BASARILI,compact,4.9244,0,uxm\tests\all_expected_known\0007__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp07_int_zero_sign_abs__3a5c5c2bca.uxm,uxm\tests\all_expected_known\0007__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp07_int_zero_sign_abs__3a5c5c2bca.expect,0007__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp07_int_zero_sign_abs__3a5c5c2bca,210010210,210010210,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0007_0007__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp07_int_zero_sign_abs__3a5c5c2bca.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0007_0007__s10_STAGE10_hotfix1__uxm_tests_fp_test_fp07_int_zero_sign_abs__3a5c5c2bca.program.txt,UXM_V33_STAGE10_hotfix1_package
8,BASARILI,compact,4.8426,0,uxm\tests\all_expected_known\0008__s10_STAGE10_hotfix1__uxm_tests_math_test_math01_poly_deriv_arge__dea08874ec.uxm,uxm\tests\all_expected_known\0008__s10_STAGE10_hotfix1__uxm_tests_math_test_math01_poly_deriv_arge__dea08874ec.expect,0008__s10_STAGE10_hotfix1__uxm_tests_math_test_math01_poly_deriv_arge__dea08874ec,4+12x+24x^2,4+12x+24x^2,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0008_0008__s10_STAGE10_hotfix1__uxm_tests_math_test_math01_poly_deriv_arge__dea08874ec.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0008_0008__s10_STAGE10_hotfix1__uxm_tests_math_test_math01_poly_deriv_arge__dea08874ec.program.txt,UXM_V33_STAGE10_hotfix1_package
9,BASARILI,compact,4.4807,0,uxm\tests\all_expected_known\0009__s10_STAGE10_hotfix1__uxm_tests_math_test_math02_poly_integral_arge__f2b514b3e4.uxm,uxm\tests\all_expected_known\0009__s10_STAGE10_hotfix1__uxm_tests_math_test_math02_poly_integral_arge__f2b514b3e4.expect,0009__s10_STAGE10_hotfix1__uxm_tests_math_test_math02_poly_integral_arge__f2b514b3e4,0+2x+2x^2+2x^3+2x^4,0+2x+2x^2+2x^3+2x^4,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0009_0009__s10_STAGE10_hotfix1__uxm_tests_math_test_math02_poly_integral_arge__f2b514b3e4.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0009_0009__s10_STAGE10_hotfix1__uxm_tests_math_test_math02_poly_integral_arge__f2b514b3e4.program.txt,UXM_V33_STAGE10_hotfix1_package
10,BASARILI,compact,4.3463,0,uxm\tests\all_expected_known\0010__s10_STAGE10_hotfix1__uxm_tests_math_test_math03_poly_eval_arge__7f1d2b2783.uxm,uxm\tests\all_expected_known\0010__s10_STAGE10_hotfix1__uxm_tests_math_test_math03_poly_eval_arge__7f1d2b2783.expect,0010__s10_STAGE10_hotfix1__uxm_tests_math_test_math03_poly_eval_arge__7f1d2b2783,98,98,compact,expected_results_v2\all_expected_v2_20260510_073624\logs\0010_0010__s10_STAGE10_hotfix1__uxm_tests_math_test_math03_poly_eval_arge__7f1d2b2783.raw.log,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0010_0010__s10_STAGE10_hotfix1__uxm_tests_math_test_math03_poly_eval_arge__7f1d2b2783.program.txt,UXM_V33_STAGE10_hotfix1_package
