actual_compact,classification,expect_path,expected_compact,index,message,mode,program_log,raw_log,return_code,seconds,source,status,test_path,unique_id
0,EXPECTED_DRIFT_ARJE_MATH_CURRENT_RETURNS_ZERO,uxm\tests\all_expected_known\0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,12,11,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0011_0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0011_0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.raw.log,0,4.4123,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.uxm,0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0,EXPECTED_DRIFT_ARJE_MATH_CURRENT_RETURNS_ZERO,uxm\tests\all_expected_known\0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,10,12,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0012_0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0012_0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.raw.log,0,5.0479,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.uxm,0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff
0,EXPECTED_DRIFT_ARJE_MATH_CURRENT_RETURNS_ZERO,uxm\tests\all_expected_known\0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,50,13,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0013_0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0013_0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.raw.log,0,5.5944,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.uxm,0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0,EXPECTED_DRIFT_ARJE_MATH_CURRENT_RETURNS_ZERO,uxm\tests\all_expected_known\0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,72,14,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0014_0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0014_0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.raw.log,0,4.8494,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.uxm,0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba
[12][34]-2,EXPECTED_DRIFT_MATRIX_DEBUG_PRINTS_MATRIX_AND_DET,uxm\tests\all_expected_known\0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,-2,15,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0015_0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0015_0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.raw.log,0,5.0961,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.uxm,0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0,EXPECTED_DRIFT_NATIVE_STATUS_BRANCH,uxm\tests\all_expected_known\0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,15,27,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0027_0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0027_0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.raw.log,0,5.2648,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.uxm,0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659
B,EXPECTED_DRIFT_NATIVE_STATUS_BRANCH,uxm\tests\all_expected_known\0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,8,28,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0028_0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0028_0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.raw.log,0,4.9555,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.uxm,0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab
B,EXPECTED_DRIFT_NATIVE_STATUS_BRANCH,uxm\tests\all_expected_known\0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,8,29,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0029_0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0029_0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.raw.log,0,4.2806,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.uxm,0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20
400000060000002236068,EXPECTED_DRIFT_COMPLEX_ABS_VALUE,uxm\tests\all_expected_known\0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,400000060000005000000,69,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0069_0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0069_0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.raw.log,0,4.9144,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.uxm,0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
[10][01],EXPECTED_DRIFT_OUTPUT_FILTER_OR_EXPECT_TEXT,uxm\tests\all_expected_known\0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",73,compact,compact,expected_results_v2\all_expected_v2_20260510_073624\program_outputs\0073_0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.program.txt,expected_results_v2\all_expected_v2_20260510_073624\logs\0073_0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.raw.log,0,5.87,UXM_V33_STAGE10_hotfix1_package,UYUSMAZ,uxm\tests\all_expected_known\0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.uxm,0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
