unique_id,expect_path,old_compact,new_compact,source_folder
0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449,uxm/tests/all_expected_known/0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT12,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0011_0011__s10_STAGE10_hotfix1__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449
0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff,uxm/tests/all_expected_known/0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT10,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0012_0012__s10_STAGE10_hotfix1__uxm_tests_math_test_math05_num_deriv__191a99caff
0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f,uxm/tests/all_expected_known/0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT50,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0013_0013__s10_STAGE10_hotfix1__uxm_tests_math_test_math06_integral_trap__f9df1f263f
0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba,uxm/tests/all_expected_known/0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT72,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0014_0014__s10_STAGE10_hotfix1__uxm_tests_math_test_math07_integral_simpson__7adae488ba
0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5,uxm/tests/all_expected_known/0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT-2,[12][34]-2,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0015_0015__s10_STAGE10_hotfix1__uxm_tests_matrix_tmp_det_debug__0ea11514b5
0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659,uxm/tests/all_expected_known/0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT15,0,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0027_0032__s10_STAGE10_hotfix1__uxm_tests_native_test13_status_div_zero__1517d0d659
0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab,uxm/tests/all_expected_known/0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0028_0033__s10_STAGE10_hotfix1__uxm_tests_native_test14_branch_current_zero__475660ecab
0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20,uxm/tests/all_expected_known/0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT8,B,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0029_0034__s10_STAGE10_hotfix1__uxm_tests_native_test15_branch_nonzero__264c6a7d20
0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a,uxm/tests/all_expected_known/0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a.expect,#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT400000060000005000000,400000060000002236068,C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0069_0079__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_complex_basic__0344e7a13a
0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a,uxm/tests/all_expected_known/0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a.expect,"#mode:compact#exit_code:0#source:embedded_EXPECT_OUTPUT[10][01]memorytape=64,stack=8,data=256,queue=4celldwordmodenormal",[10][01],C:\Users\mete\Downloads\1\UXMv33\expected_results_v2\all_expected_v2_20260510_073624\mismatches\0073_0087__s10_STAGE10_hotfix1__uxm_tests_v33_test_v33_matadv_inverse_identity__b905ef3b4a
