semantic_key,count,statuses,classes,representative_test_path,representative_expect_path,expected_compact,actual_compact
uxm_tests_math_test_math04_expr_rpn_eval,13,UYUSMAZ:13,math_arge_expected_or_stub_review:13,uxm\tests\all_expected_known\1600__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.uxm,uxm\tests\all_expected_known\1600__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math04_expr_rpn_eval__2f2f641449.expect,12,0
uxm_tests_math_test_math05_num_deriv,13,UYUSMAZ:13,math_arge_expected_or_stub_review:13,uxm\tests\all_expected_known\1601__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math05_num_deriv__191a99caff.uxm,uxm\tests\all_expected_known\1601__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math05_num_deriv__191a99caff.expect,10,0
uxm_tests_math_test_math06_integral_trap,13,UYUSMAZ:13,math_arge_expected_or_stub_review:13,uxm\tests\all_expected_known\1602__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math06_integral_trap__f9df1f263f.uxm,uxm\tests\all_expected_known\1602__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math06_integral_trap__f9df1f263f.expect,50,0
uxm_tests_math_test_math07_integral_simpson,13,UYUSMAZ:13,math_arge_expected_or_stub_review:13,uxm\tests\all_expected_known\1603__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math07_integral_simpson__7adae488ba.uxm,uxm\tests\all_expected_known\1603__s09_STAGE9_prob_numeric_complex__uxm_tests_math_test_math07_integral_simpson__7adae488ba.expect,72,0
uxm_tests_matrix_tmp_det_debug,13,UYUSMAZ:13,matrix_debug_extra_output:13,uxm\tests\all_expected_known\1604__s09_STAGE9_prob_numeric_complex__uxm_tests_matrix_tmp_det_debug__0ea11514b5.uxm,uxm\tests\all_expected_known\1604__s09_STAGE9_prob_numeric_complex__uxm_tests_matrix_tmp_det_debug__0ea11514b5.expect,-2,[12][34]-2
uxm_tests_mega_corpus_example_01_game_score_combo,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0487__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_01_game_score_combo__a67334acd6.uxm,uxm\tests\all_expected_known\0487__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_01_game_score_combo__a67334acd6.expect,150300,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_03_game_inventory_vector_sum,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0489__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_03_game_inventory_vector_sum__b175c33a4f.uxm,uxm\tests\all_expected_known\0489__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_03_game_inventory_vector_sum__b175c33a4f.expect,21,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_11_tensor2d_sum,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0497__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_11_tensor2d_sum__aa75c49a1a.uxm,uxm\tests\all_expected_known\0497__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_11_tensor2d_sum__aa75c49a1a.expect,30,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_12_tensor3d_index,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0498__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_12_tensor3d_index__ef143e286c.uxm,uxm\tests\all_expected_known\0498__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_12_tensor3d_index__ef143e286c.expect,77,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
uxm_tests_mega_corpus_example_13_tensor4d_flat_logic,1,BUILD_FAIL:1,memory_policy_data_directive:1,uxm\tests\all_expected_known\0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.uxm,uxm\tests\all_expected_known\0499__s18_STAGE18_MEGA_TEST_CORPUS_TRANSLATORS_PACKAGE__uxm_tests_mega_corpus_example_13_tensor4d_flat_logic__948afdf95a.expect,88,HATA:databellekustsiniri256KB.Verilen=4096KB.Toplam-politikaicin#memorypolicy=totalkullan.
