path,action,dest
all_expected_results,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\all_expected_results
asmkuralkitabi.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\asmkuralkitabi.txt
asmoptimizer.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\asmoptimizer.py
bak.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\bak.txt
bak2.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\bak2.txt
build,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\build
build_native.bat,keep,
build_one_native.bat,keep,
build_optimized.py,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\py\build_optimized.py
config,keep,
docs,keep,
Emekliler,keep,
expected_results_v2,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\expected_results_v2
expected_results_v3,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\expected_results_v3
manifest,keep,
MEGA_CORPUS_MANIFEST.csv,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\csv\MEGA_CORPUS_MANIFEST.csv
MEGA_CORPUS_SUMMARY.json,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\json\MEGA_CORPUS_SUMMARY.json
mismatch_diagnostics,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\mismatch_diagnostics
mismatch_diagnostics.zip,keep,
mismatch_fix_reports,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\mismatch_fix_reports
optimizasyon,move_dir_misc,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\optimizasyon
PACKAGE_FILE_LIST.txt,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\txt\PACKAGE_FILE_LIST.txt
README_EXPECT_RUNNER_V2.md,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\md\README_EXPECT_RUNNER_V2.md
README_FINAL_EXPECTED_TEST_SUITE.md,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\md\README_FINAL_EXPECTED_TEST_SUITE.md
README_MEGA_CORPUS.md,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\md\README_MEGA_CORPUS.md
README_MISMATCH_FIX_V3.md,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\md\README_MISMATCH_FIX_V3.md
README_MISMATCH_WORKSPACE_FIX_V4.md,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\md\README_MISMATCH_WORKSPACE_FIX_V4.md
README_STAGE17_TEST_FRAMEWORK.md,move_root_artifact,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\md\README_STAGE17_TEST_FRAMEWORK.md
rtx.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\rtx.bat
rtxz.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\rtxz.bat
runalltests.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\runalltests.bat
run_01_stage.bat,keep,
run_02_all_expected.bat,keep,
run_03_mismatch_diag.bat,keep,
run_04_fix_mismatches.bat,keep,
run_05_workspace_clean_dryrun.bat,keep,
run_06_workspace_clean_apply.bat,keep,
run_07_emekli_analyze.bat,keep,
run_08_perf_report.bat,keep,
run_all_expected_tests.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_all_expected_tests.bat
run_all_expected_tests_no_build.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_all_expected_tests_no_build.bat
run_all_expected_tests_v2.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_all_expected_tests_v2.bat
run_all_expected_tests_v2_no_build.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_all_expected_tests_v2_no_build.bat
run_all_expected_tests_v3.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_all_expected_tests_v3.bat
run_all_expected_tests_v3_no_build.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_all_expected_tests_v3_no_build.bat
run_emekli_build_analyzer_y.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_emekli_build_analyzer_y.bat
run_fix_known_test_issues_v3.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_fix_known_test_issues_v3.bat
run_full_y.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_full_y.bat
run_mega_corpus_auto.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_mega_corpus_auto.bat
run_mismatch_solver_v3_apply.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_mismatch_solver_v3_apply.bat
run_mismatch_solver_v3_dryrun.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_mismatch_solver_v3_dryrun.bat
run_opt.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_opt.bat
run_opt_fixed.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_opt_fixed.bat
run_stage10_smoke.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage10_smoke.bat
run_stage11_smoke.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage11_smoke.bat
run_stage12_smoke.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage12_smoke.bat
run_stage13_smoke.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage13_smoke.bat
run_stage14_smoke.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage14_smoke.bat
run_stage17_tests.bat,move_bat_old,C:\Users\mete\Downloads\1\UXMv33\Emekliler\workspace_root_archive\20260510_155712\bat\run_stage17_tests.bat
