unique_test_path,unique_expect_path,unique_id,status,class,semantic_key,source_csv
uxm\tests\all_expected_known\0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.uxm,uxm\tests\all_expected_known\0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.expect,uxm_tests_all_expected_known_0161__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_fifo_clear__8d1f5ff5ef.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test46_fifo_clear,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.uxm,uxm\tests\all_expected_known\0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.expect,uxm_tests_all_expected_known_0162__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test46_sqrt__ba2125299d.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test46_sqrt,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.uxm,uxm\tests\all_expected_known\0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.expect,uxm_tests_all_expected_known_0163__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_sinh__bf870a2c68.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test47_sinh,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a9.uxm,uxm\tests\all_expected_known\0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a9.expect,uxm_tests_all_expected_known_0164__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test47_tape_sort_ascending__1ef486c6a9.uxm,BUILD_OR_RUN_FAIL,LINK_OR_TOOLCHAIN,native_test47_tape_sort_ascending,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.uxm,uxm\tests\all_expected_known\0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.expect,uxm_tests_all_expected_known_0165__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test48_cosh__f8e0aaf176.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test48_cosh,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.uxm,uxm\tests\all_expected_known\0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.expect,uxm_tests_all_expected_known_0167__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_data_linear_search__962f7b8415.uxm,BUILD_OR_RUN_FAIL,PARALLEL_FILE_LOCK,native_test49_data_linear_search,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.uxm,uxm\tests\all_expected_known\0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.expect,uxm_tests_all_expected_known_0168__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test49_tanh__9f2c8ceeca.uxm,BUILD_OR_RUN_FAIL,PARALLEL_FILE_LOCK,native_test49_tanh,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.uxm,uxm\tests\all_expected_known\0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.expect,uxm_tests_all_expected_known_0171__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test52_meta_print_hex__443105bf21.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test52_meta_print_hex,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.uxm,uxm\tests\all_expected_known\0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.expect,uxm_tests_all_expected_known_0172__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test53_meta_print_bin__746bc9c5a1.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test53_meta_print_bin,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
uxm\tests\all_expected_known\0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea56.uxm,uxm\tests\all_expected_known\0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea56.expect,uxm_tests_all_expected_known_0173__s10_STAGE10_matrix_adv_tensor__uxm_tests_native_test54_meta_print_char_raw__73558fea56.uxm,UYUSMAZ,OUTPUT_MISMATCH,native_test54_meta_print_char_raw,expected_results_v3\expected_v3_20260510_161930\expected_results_v3.csv
